temp,prec,invierno,otoño,primavera,verano,mp25
16.4,0.4,0,0,0,1,2
19.1,0,0,0,0,1,4
16.4,0,0,0,0,1,2
15.1,0,0,0,0,1,4
16.6,0,0,0,0,1,5
18.9,0,0,0,0,1,37
18.2,0,0,0,0,1,13
15.4,0.4,0,0,0,1,4
13.7,0,0,0,0,1,2
16,0,0,0,0,1,2
18.7,0,0,0,0,1,2
16.2,0,0,0,0,1,5
15.5,7,0,0,0,1,2
14.4,0.8,0,0,0,1,2
14.9,0,0,0,0,1,3
16,0,0,0,0,1,2
16.5,0,0,0,0,1,1
15.2,0,0,0,0,1,3
13.1,1,0,0,0,1,2
15.7,0,0,0,0,1,3
15.5,0,0,0,0,1,3
15,0,0,0,0,1,2
13.7,0,0,0,0,1,5
13.1,0,0,0,0,1,3
14.8,0,0,0,0,1,4
14,0,0,0,0,1,6
13,0,0,0,0,1,6
11.1,11.2,0,0,0,1,7
14.6,5.8,0,0,0,1,5
14.1,0,0,0,0,1,8
14.3,0,0,0,0,1,4
17.1,14,0,0,0,1,1
15.8,0.2,0,0,0,1,4
13.1,13.8,0,0,0,1,9
10.7,0.2,0,0,0,1,20
11.7,3.2,0,0,0,1,9
12.8,0,0,0,0,1,12
11,0,0,0,0,1,17
13.2,0.2,0,0,0,1,14
12.1,22.4,0,0,0,1,6
10.9,0,0,1,0,0,18
7.9,0.6,0,1,0,0,26
12,21,0,1,0,0,18
16.7,0,0,1,0,0,10
14.7,0,0,1,0,0,8
13.2,5,0,1,0,0,17
17.2,0.6,0,1,0,0,8
14.8,0,0,1,0,0,7
13.2,1.6,0,1,0,0,13
15.4,0,0,1,0,0,10
10.1,0,0,1,0,0,19
8.1,0,0,1,0,0,26
6.9,10,0,1,0,0,76
12,2.8,0,1,0,0,11
9.9,0.4,0,1,0,0,17
13.4,0.2,0,1,0,0,29
10.2,0,0,1,0,0,16
13.5,3.6,0,1,0,0,10
15.1,4.2,0,1,0,0,4
14.1,0,0,1,0,0,6
8.1,0,0,1,0,0,6
11.3,0,0,1,0,0,10
9.8,0,0,1,0,0,20
10.3,0,0,1,0,0,17
12.7,0,0,1,0,0,20
11.7,0,0,1,0,0,29
10.2,0.2,0,1,0,0,24
13.8,1.6,0,1,0,0,21
12.1,0,0,1,0,0,47
9.9,2.6,0,1,0,0,26
11.9,0,0,1,0,0,22
8.1,0,0,1,0,0,48
12.24,4.1,0,1,0,0,46
11.7,0.8,0,1,0,0,18
9.6,0,0,1,0,0,33
10.98,2,0,1,0,0,21
11.46,4.2,0,1,0,0,10
12.12,0,0,1,0,0,38
12.24,9.7,0,1,0,0,35
13.2,10.2,0,1,0,0,7
11.22,5,0,1,0,0,9
9.6,0,0,1,0,0,95
6.11,1.8,0,1,0,0,77
7.19,0,0,1,0,0,87
7.43,0.6,0,1,0,0,38
6.41,0,0,1,0,0,17
8.51,6.3,0,1,0,0,7
9.59,0.9,0,1,0,0,11
8.09,7.1,0,1,0,0,43
6.47,1.8,0,1,0,0,23
6.41,0.1,0,1,0,0,30
8.75,0.7,0,1,0,0,41
6.6,0,0,1,0,0,51
8.8,6.9,0,1,0,0,62
10.85,2.8,0,1,0,0,88
3.6,0,0,1,0,0,71
3.2,0,0,1,0,0,224
2.2,0,0,1,0,0,197
3.8,0,0,1,0,0,156
2.8,0,0,1,0,0,73
7.7,1,0,1,0,0,25
8,4.6,0,1,0,0,20
8.8,0,0,1,0,0,85
5.7,0,0,1,0,0,49
3.5,0,0,1,0,0,129
5.6,0,0,1,0,0,63
2.1,0,0,1,0,0,141
4.9,0,0,1,0,0,268
5.3,0,0,1,0,0,289
8.7,0.8,0,1,0,0,26
6.7,0,0,1,0,0,216
2.9,0.2,0,1,0,0,97
7.3,3.4,0,1,0,0,53
5.9,3,0,1,0,0,63
5.6,0,0,1,0,0,54
4.7,0.4,0,1,0,0,54
12,5.4,0,1,0,0,18
13.2,2.6,0,1,0,0,13
13.4,0,0,1,0,0,10
6.36,3.4,0,1,0,0,45
10.38,15.2,0,1,0,0,22
6.36,3.2,0,1,0,0,18
6.42,17.4,0,1,0,0,8
11.9,8,0,1,0,0,14
11.9,12.2,0,1,0,0,8
11.7,9.4,0,1,0,0,19
9.5,0.2,0,1,0,0,28
8.5,0,0,1,0,0,47
7.4,13.8,0,1,0,0,31
9.9,8.4,0,1,0,0,20
6.2,1,0,1,0,0,94
3.7,8.6,0,1,0,0,35
7.8,19.6,0,1,0,0,11
8.7,12,1,0,0,0,20
6.8,4.4,1,0,0,0,20
6.6,0,1,0,0,0,28
4.2,0,1,0,0,0,111
1.2,11.6,1,0,0,0,35
10.3,3.4,1,0,0,0,9
9.2,0.2,1,0,0,0,24
5,0.6,1,0,0,0,63
4.3,0.6,1,0,0,0,80
7.4,2.3,1,0,0,0,36
7.4,26.2,1,0,0,0,43
8.9,3.8,1,0,0,0,98
4.1,3.6,1,0,0,0,73
2.5,0.6,1,0,0,0,131
-0.4,0,1,0,0,0,61
1.9,0,1,0,0,0,133
4.2,0,1,0,0,0,68
5.4,0,1,0,0,0,21
5.4,0,1,0,0,0,18
5.6,1.6,1,0,0,0,26
6.8,0,1,0,0,0,29
3.98,0,1,0,0,0,37
5.78,0,1,0,0,0,121
6.2,0.2,1,0,0,0,46
5.6,0,1,0,0,0,47
3.98,0,1,0,0,0,124
2.78,1.6,1,0,0,0,35
2.6,0,1,0,0,0,27
8.36,0,1,0,0,0,19
